stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding,out_of_service
200318,200318,"Ajuntament",Pal,41.45041336,1.97126223,https://app.ambmobilitat.cat/stops/busamb:200318,0,0
200319,200319,"Circumval·lació - Av. Ferrocarril",Pal,41.47139585,1.99877499,https://app.ambmobilitat.cat/stops/busamb:200319,0,0
200324,200324,"Circumval·lació - Av. Ferrocarril",Banderola,41.47145137,1.99891581,https://app.ambmobilitat.cat/stops/busamb:200324,0,0
200320,200320,"Circumval·lació - Cinemàtica",Pal,41.46516359,2.00176565,https://app.ambmobilitat.cat/stops/busamb:200320,0,0
200323,200323,"Circumval·lació - Cinemàtica",Banderola,41.46530721,2.00177236,https://app.ambmobilitat.cat/stops/busamb:200323,0,0
200321,200321,"Av. del Ferrocarril - Domènech i Montaner",Pal,41.46423499,2.0055422,https://app.ambmobilitat.cat/stops/busamb:200321,0,0
200322,200322,"Av. del Ferrocarril - Domènech i Montaner",Pal,41.46426715,2.00539334,https://app.ambmobilitat.cat/stops/busamb:200322,0,0
200325,200325,"Ctra. Sant Vicenç",Pal,41.37141985,1.98874286,https://app.ambmobilitat.cat/stops/busamb:200325,0,0
200326,200326,"Raval Roig",Pal,41.36307408,1.9832792,https://app.ambmobilitat.cat/stops/busamb:200326,0,0
200327,200327,"Major - Bosc de les Ànimes",Pal,41.35570523,1.97896755,https://app.ambmobilitat.cat/stops/busamb:200327,0,0
200328,200328,"Pisos Can Coll",Banderola,41.35427525,1.97465321,https://app.ambmobilitat.cat/stops/busamb:200328,0,0
200329,200329,"Raval Mas",Pal,41.35497338,1.96869267,https://app.ambmobilitat.cat/stops/busamb:200329,0,0
200330,200330,"Bústies",Banderola,41.35584414,1.96466098,https://app.ambmobilitat.cat/stops/busamb:200330,0,0
200331,200331,"Av. Segona, 24",Pal,41.35474033,1.96042476,https://app.ambmobilitat.cat/stops/busamb:200331,0,0
200332,200332,"Av. Segona - Av. Tercera",Banderola,41.35376913,1.95794037,https://app.ambmobilitat.cat/stops/busamb:200332,0,0
200333,200333,"Av. Segona, 94",Banderola,41.35270681,1.95457621,https://app.ambmobilitat.cat/stops/busamb:200333,0,0
200334,200334,"Av. Cinquena - Av. Quarta",Banderola,41.35461097,1.95150776,https://app.ambmobilitat.cat/stops/busamb:200334,0,0
200335,200335,"Av. Cinquena - Av. Primera",Banderola,41.35839673,1.95013212,https://app.ambmobilitat.cat/stops/busamb:200335,0,0
