key,value,definition
handrail,yes,handrail=yes
hazmat,no,hazmat=no
healthcare,yes,healthcare=yes
heritage,yes,heritage=yes
hgv:national_network,no,hgv:national_network=no
hgv:national_network,yes,hgv:national_network=yes
hgv:state_network,yes,hgv:state_network=yes
hgv,no,hgv=no
hgv,yes,hgv=yes
highspeed,no,highspeed=no
highspeed,yes,highspeed=yes
hiking,yes,hiking=yes
historic,yes,historic=yes
horse,no,horse=no
horse,yes,horse=yes
ice_road,yes,ice_road=yes
implicit,yes,implicit=yes
import,yes,import=yes
indoor_seating,no,indoor_seating=no
indoor_seating,yes,indoor_seating=yes
indoor,no,indoor=no
indoor,yes,indoor=yes
informal,no,informal=no
informal,yes,informal=yes
intermittent,no,intermittent=no
intermittent,yes,intermittent=yes
internet_access:fee,no,internet_access:fee=no
internet_access:fee,yes,internet_access:fee=yes
internet_access,no,internet_access=no
internet_access,yes,internet_access=yes
is_sidepath,yes,is_sidepath=yes
junction,yes,junction=yes
kerb,no,kerb=no
kerb,yes,kerb=yes
LandPro08:reviewed,no,LandPro08:reviewed=no
lane_markings,no,lane_markings=no
lane_markings,yes,lane_markings=yes
language:en,yes,language:en=yes
lcn,yes,lcn=yes
light_rail,yes,light_rail=yes
LINZ:reviewed,no,LINZ:reviewed=no
lit,no,lit=no
lit,yes,lit=yes
living_street,yes,living_street=yes
location:transition,yes,location:transition=yes
lock,yes,lock=yes
lockable,no,lockable=no
lockable,yes,lockable=yes
locked,no,locked=no
locked,yes,locked=yes
luminous,no,luminous=no
luminous,yes,luminous=yes
magic_wand,yes,magic_wand=yes
male,yes,male=yes
man_made,yes,man_made=yes
managed,yes,managed=yes
manhole,yes,manhole=yes
maritime,yes,maritime=yes
marker,yes,marker=yes
maxheight:signed,no,maxheight:signed=no
maxspeed:variable,yes,maxspeed:variable=yes
maxstay,no,maxstay=no
maxweight:signed,no,maxweight:signed=no
mechanical,yes,mechanical=yes
median,no,median=no
mofa,no,mofa=no
mofa,yes,mofa=yes
monitoring:water_level,yes,monitoring:water_level=yes
monitoring:weather,yes,monitoring:weather=yes
mooring,yes,mooring=yes
moped,no,moped=no
moped,yes,moped=yes
motor_vehicle,no,motor_vehicle=no
motor_vehicle,yes,motor_vehicle=yes
motorboat,no,motorboat=no
motorboat,yes,motorboat=yes
motorcar,no,motorcar=no
motorcar,yes,motorcar=yes
motorcycle,no,motorcycle=no
motorcycle,yes,motorcycle=yes
motorroad,no,motorroad=no
motorroad,yes,motorroad=yes
mountain_pass,yes,mountain_pass=yes
mtb,yes,mtb=yes
name:signed,no,name:signed=no
naptan:verified,no,naptan:verified=no
naptan:verified,yes,naptan:verified=yes
narrow,yes,narrow=yes
NHS,yes,NHS=yes
noaddress,yes,noaddress=yes
noexit,yes,noexit=yes
nohousenumber,yes,nohousenumber=yes
noname,yes,noname=yes
noref,yes,noref=yes
obstacle:parking,yes,obstacle:parking=yes
ocean,yes,ocean=yes
office,yes,office=yes
offshore,yes,offshore=yes
oneway:bicycle,no,oneway:bicycle=no
oneway:bicycle,yes,oneway:bicycle=yes
oneway:mofa,no,oneway:mofa=no
oneway:moped,no,oneway:moped=no
oneway,no,oneway=no
oneway,yes,oneway=yes
opening_hours:signed,no,opening_hours:signed=no
organic,yes,organic=yes
outdoor_seating,no,outdoor_seating=no
outdoor_seating,yes,outdoor_seating=yes
overtaking:hgv,no,overtaking:hgv=no
overtaking,no,overtaking=no
overtaking,yes,overtaking=yes
parcel_mail_in,yes,parcel_mail_in=yes
parcel_pickup,yes,parcel_pickup=yes
park_ride,no,park_ride=no
park_ride,yes,park_ride=yes
parking:both:fee,no,parking:both:fee=no
parking:both,no,parking:both=no
parking:both,yes,parking:both=yes
parking:fee,no,parking:fee=no
parking:lane:both,no,parking:lane:both=no
parking:left:fee,no,parking:left:fee=no
parking:left,no,parking:left=no
parking:left,yes,parking:left=yes
parking:right:fee,no,parking:right:fee=no
parking:right,no,parking:right=no
parking:right,yes,parking:right=yes
parking,yes,parking=yes
passenger_information_display,no,passenger_information_display=no
passenger_information_display,yes,passenger_information_display=yes
passing_places,yes,passing_places=yes
payment:american_express,yes,payment:american_express=yes
payment:app,yes,payment:app=yes
payment:apple_pay,yes,payment:apple_pay=yes
payment:cards,no,payment:cards=no
payment:cards,yes,payment:cards=yes
payment:cash,no,payment:cash=no
payment:cash,yes,payment:cash=yes
payment:coins,yes,payment:coins=yes
payment:contactless,yes,payment:contactless=yes
payment:credit_cards,no,payment:credit_cards=no
payment:credit_cards,yes,payment:credit_cards=yes
payment:cryptocurrencies,no,payment:cryptocurrencies=no
payment:debit_cards,no,payment:debit_cards=no
payment:debit_cards,yes,payment:debit_cards=yes
payment:diners_club,yes,payment:diners_club=yes
