stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
"PF43010001","Av. Verdaguer - Pl. Nova (marquesina sentit Valls)","",41.29451590857356,1.3062279557483196,,,0,,
"PF43161013","Valls (estació d'autobusos)","",41.28587696746245,1.2534325578799883,,,0,,
"PF43148116","Tarragona (estació d'autobusos)","",41.118270715428686,1.2444282044646273,,,0,,
"PF43148013","la Salle","",41.11618322295241,1.2457576745819683,,,0,,
"PF43148085","Fàbrica Loste","",41.13367798604587,1.23970772057492,,,0,,
"PF43148015","Sant Salvador (N-240 sentit Tgna)","",41.15957933953752,1.2400341825873664,,,0,,
"PF43103001","N-240 rotonda (marquesina - sentit Valls)","",41.192546205865504,1.243266402357654,,,0,,
"PF43103000","C. de Joan Fuster, 7 (marquesina-sentit Tarragona)","",41.19222164662693,1.25598548875058,,,0,,
"PF43066000","N-240 rotonda (marq - Els Garidells sentit Valls)","",41.208388494767185,1.2431581921979287,,,0,,
"PF43160000","Av. Coronel Oller (marquesina sentit Tgna)","",41.24577323541761,1.2490607962319187,,,0,,
"PF17066018","Figueres (estació d'autobusos)","",42.2648958245559,2.967408828428199,,,0,,
"PF17221000","Vilafant","",42.25094292170557,2.9397190780844413,,,0,,
"PF17012000","Avinyonet de Puigventós","",42.24548584549082,2.918969000600442,,,0,,
"PF17111000","Navata","",42.225201901219584,2.860830741403671,,,0,,
"PF17088000","Lladó","",42.2478574258776,2.8161923355065905,,,0,,
"PF17079105","Girona (estació d'autobusos)","",41.97914827142891,2.8157568825601746,,,0,,
"PF17155018","Salt (Hospital) 1","",41.97095085449726,2.7988722400506423,,,0,,
"PF17180000","Santa Coloma de Farners (estació d'autobusos)","",41.86141577481209,2.6674993271218437,,,0,,
"PF17164000","Sant Hilari Sacalm","",41.87826909293619,2.5084913667104467,,,0,,
"PF17009000","Arbúcies","",41.81471728395632,2.5182195598020938,,,0,,
"PF25100000","pl. Major (CEIP Santa Margarida)","",42.23699258514258,1.6603511137905569,,,0,,
"PF08190000","cruïlla l'Espà","",42.21858223130903,1.6961286827709101,,,0,,
"PF08190002","c. Santa Bàrbara (Oficina de Turisme)","",42.2286787037512,1.7351909127293885,,,0,,
"PF08190001","Maçaners MB0584 - pl. del Cadí","",42.233290414953274,1.7759149777354644,,,0,,
"PF08293000","ctra. la Mina (CEIP Serrat Voltor) MB0583","",42.20315115418107,1.8179617237509005,,,0,,
"PF08099004","c. Comerç (antiga estació) (A) MB0589","",42.23077994264273,1.877827043509967,,,0,,
"PF08016001","c. Raval - av. Salarich","",42.25105210614943,1.864498126031619,,,0,,
"PF08096019","Granollers (estació d'autobusos)","",41.60659913867882,2.2911469515919958,,,0,,
"PF08096024","pg. Colom - c. Sant Josep de Calassanç","",41.60009288683132,2.2884666096024957,,,0,,
"PF08096035","av. Prat de la Riba - c. Princesa","",41.60265335039095,2.2837787851157985,,,0,,
"PF08096036","av. Sant Julià (Centre Comercial)","",41.60026212790046,2.277332532923997,,,0,,
"PF08096037","av. Sant Julià - c. Empordà (A)","",41.594148073049496,2.2747646289798404,,,0,,
"PF08096080","av. Sant Julià (Bombers)","",41.590407664641276,2.2743824873245977,,,0,,
"PF08096081","av. Sant Julià - c. Pasteur (Iveco)","",41.58724415510933,2.2740699870379624,,,0,,
"PF08096082","av. Sant Julià - c. Arquímedes (Coty)","",41.58429665001133,2.273731100854544,,,0,,
"PF08096083","av. Sant Julià (ITV)","",41.57761836174431,2.273110181389332,,,0,,
"PF08096067","Can Cabanyes - Can Gordi","",41.56985819151941,2.2666603576052844,,,0,,
"PF08135015","Verneda del Congost - Rec Molinar (A)","",41.564748967556376,2.2634177193069065,,,0,,
"PF08135020","Verneda del Congost - c. Can Sastre (A)","",41.560980396692344,2.2601554956192293,,,0,,
"PF08135022","Verneda del Congost (sota autopista) (A)","",41.55904756836998,2.2586694900049267,,,0,,
"PF08135019","rda. Pedregar - c. Can Tabola (A)","",41.558316146492835,2.2548704149321037,,,0,,
"PF08135023","c. Vic - c. Mn. Cinto Verdaguer","",41.55281444141827,2.249597602166741,,,0,,
"PF08135011","Estació de Rodalies (c. 1r de maig) (D)","",41.54935300134808,2.2459115003413603,,,0,,
"PF08136011","cruïlla Montmeló (Can Bosquerons) (A)","",41.5457951712317,2.2512718445884965,,,0,,
"PF08136027","av. 11 de Setembre - c. Estrella MB0391","",41.54262987159336,2.2639464643221476,,,0,,
"PF08136023","av. Llibertat (Ajuntament)","",41.54549590953299,2.2663295172393103,,,0,,
"PF08136013","av. Mogent - Vial Nord (A)","",41.54899026092234,2.2662547587158315,,,0,,
"PF08136014","av. Mogent - c. Nou d'Abril (A)","",41.55300104892763,2.2687754872588184,,,0,,
"PF08136028","av. Llibertat - c. García Lorca (parada bus Mercat) MB0392","",41.553245766321595,2.266788483163958,,,0,,
"PF08202008","Estació de Rodalies MB0114","",41.68593763628794,2.4906644869033565,,,0,,
"PF08202006","Hospital de Sant Celoni MB0402","",41.687606681642166,2.4862185918452497,,,0,,
"PF08202064","c.Dr. Trueta (pl.Mercè Rodoreda) (AH) MB0453","",41.68570994718871,2.488072087824013,,,0,,
"PF08202060","urb. Montnegre (pl. Santa Laura) MB0256","",41.69652182211232,2.5223198389947896,,,0,,
"PF08202072","Can Coll (pl. Centre)","",41.68884551939158,2.5163997144291064,,,0,,
"PF17033000","Caldes de Malavella","",41.84162383750102,2.7889192779146335,,,0,,
"PF17157001","Cruïlla St.Andreu Salou","",41.86921732130802,2.8252509396334076,,,0,,
