service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,name
186370,0,0,0,0,0,0,0,20250601,20260601,"Dilluns-divendres feiners Setembre-Juny i diari Juliol i Agost"
185345,0,0,0,0,0,0,0,20250601,20260601,"Dilluns feiners de l'1/10 al 30/6"
185359,0,0,0,0,0,0,0,20250601,20260601,"Circula el 25 i el 26 desembre i l'1 de gener"
185363,0,0,0,0,0,0,0,20250601,20260601,"De dilluns a divendres feiners de l'1/07 al 30/09, vacances escolars de Nadal i Setmana Santa"
185366,0,0,0,0,0,0,0,20250601,20260601,"Feiners. Del 16/09 al 14/06"
185369,0,0,0,0,0,0,0,20250601,20260601,"Dimarts"
185377,0,0,0,0,0,0,0,20250601,20260601,"De dilluns a divendres feiners d'agost"
185380,0,0,0,0,0,0,0,20250601,20260601,"De dilluns a divendres feiners excepte agost"
185390,0,0,0,0,0,0,0,20250601,20260601,"De dilluns a divendres i festius"
185391,0,0,0,0,0,0,0,20250601,20260601,"Dissabtes i festius. Sense servei el  25 i 26 de desembre i 1 de gener"
185395,0,0,0,0,0,0,0,20250601,20260601,"De dimarts a divendres feiners"
185397,0,0,0,0,0,0,0,20250601,20260601,"Diari. De l'1/05 al 30/09"
185402,0,0,0,0,0,0,0,20250601,20260601,"Diari. De l'1/10 al 31/05"
185403,0,0,0,0,0,0,0,20250601,20260601,"Diari. De l'1/06 al 30/09"
185404,0,0,0,0,0,0,0,20250601,20260601,"Diari. Del 21/06 al 14/09"
185411,0,0,0,0,0,0,0,20250601,20260601,"Diari juliol-agost. D'1/09 a 30/06: divendres-dissabtes-vigílies festius."
185414,0,0,0,0,0,0,0,20250601,20260601,"Diari. De l'1/08 al 31/08"
185422,0,0,0,0,0,0,0,20250601,20260601,"Diari. Del 23/06 a l'11/09"
185420,0,0,0,0,0,0,0,20250601,20260601,"Diari. De l'1/11 al 31/03"
185438,0,0,0,0,0,0,0,20250601,20260601,"Dijous i divendres feiners"
185446,0,0,0,0,0,0,0,20250601,20260601,"Dilluns, dimecres i divendres feiners"
185444,0,0,0,0,0,0,0,20250601,20260601,"Dilluns a dijous"
185453,0,0,0,0,0,0,0,20250601,20260601,"Divendres no lectius"
185459,0,0,0,0,0,0,0,20250601,20260601,"Nits de divendres i dissabtes de l'1/06 al 30/09"
185456,0,0,0,0,0,0,0,20250601,20260601,"Nits de diumenge a dijous de l'1/10 al 31/05"
185462,0,0,0,0,0,0,0,20250601,20260601,"De dilluns a divendres no lectius i dissabtes de tot l'any."
185463,0,0,0,0,0,0,0,20250601,20260601,"Dilluns, dimarts i dijous"
185461,0,0,0,0,0,0,0,20250601,20260601,"De dilluns a divendres no lectius"
185467,0,0,0,0,0,0,0,20250601,20260601,"Divendres feiners"
185464,0,0,0,0,0,0,0,20250601,20260601,"Dilluns, dimarts i dimecres feiners"
185465,0,0,0,0,0,0,0,20250601,20260601,"Feiners. De l'1/09 al 30/06"
185473,0,0,0,0,0,0,0,20250601,20260601,"Dimarts feiners excepte agost"
185476,0,0,0,0,0,0,0,20250601,20260601,"Festius excepte 25/12 i 1/1"
185483,0,0,0,0,0,0,0,20250601,20260601,"Divendres, dissabtes i festius"
185480,0,0,0,0,0,0,0,20250601,20260601,"Diari. Del 23/06 al 14/09"
185481,0,0,0,0,0,0,0,20250601,20260601,"Nits de divendres i dissabtes"
185487,0,0,0,0,0,0,0,20250601,20260601,"Nits de divendres, dissabtes i vigílies de festiu del 5/09 al 22/06"
